answer_id,answer_text,matched_category,category_id,similarity_score,rank
64ef589ec6119baa2a51a9fe,travel agent,3.2 Authorized travel agency,52288,0.8185,3
5c8a78336d41a10da4f73294,management or tourism promotion and marketing,11.3 Other services in the sphere of business tourism,52335,0.7746,1
5c8a78336d41a10da4f73294,management or tourism promotion and marketing,14.8 Other type of specialized tourism,52355,0.743,2
5c8a78336d41a10da4f73294,management or tourism promotion and marketing,8. Health & medical tourism,52310,0.734,3
5c8a78336d41a10da4f73291,hotel equipment and services supplier,9. Hotel equipment & service suppliers,52318,0.9847,1
5c8a78336d41a10da4f73291,hotel equipment and services supplier,9.5 Equipment for restaurants and catering,52323,0.7788,2
5c8a78336d41a10da4f73291,hotel equipment and services supplier,11.3 Other services in the sphere of business tourism,52335,0.7606,3
611506b3c0d46618f87aadf1,joint responsibility,6.3 Services & facilities,52302,0.6413,1
611506b3c0d46618f87aadf1,joint responsibility,8.2 Short-term complex rest and medical services,52312,0.6382,2
611506b3c0d46618f87aadf1,joint responsibility,2.3 Receptive / ground operator,52282,0.6018,3
64ef58ecc6119baa2a51aa00,sole responsibility,2.3 Receptive / ground operator,52282,0.6123,1
64ef58ecc6119baa2a51aa00,sole responsibility,8.2 Short-term complex rest and medical services,52312,0.5916,2
64ef58ecc6119baa2a51aa00,sole responsibility,6.3 Services & facilities,52302,0.5846,3
5c8a78336d41a10da4f7336f,advisory role,11.3 Other services in the sphere of business tourism,52335,0.6143,1
5c8a78336d41a10da4f7336f,advisory role,"17.3 Banking, investments",52366,0.6127,2
5c8a78336d41a10da4f7336f,advisory role,2.1 Inbound tour operator,52280,0.606,3
5c8a78336d41a10da4f7336e,no influence,12. Tourist board / Government / NTO,52336,0.5346,1
5c8a78336d41a10da4f7336e,no influence,12.2 NTO: National tourism office,52338,0.5285,2
5c8a78336d41a10da4f7336e,no influence,9.3 Cleaning,52321,0.5155,3
5c8a78336d41a10da4f73370,10 - 20 million rubles,"17.3 Banking, investments",52366,0.6327,1
5c8a78336d41a10da4f73370,10 - 20 million rubles,"16.2 Real estate, property and homes abroad",52362,0.6085,2
5c8a78336d41a10da4f73370,10 - 20 million rubles,"16.1 Real estate, property and homes in Russia",52361,0.5995,3
5c8a78336d41a10da4f73371,more than 50 million rubles,"17.3 Banking, investments",52366,0.625,1
5c8a78336d41a10da4f73371,more than 50 million rubles,"16.1 Real estate, property and homes in Russia",52361,0.6,2
5c8a78336d41a10da4f73371,more than 50 million rubles,"16.2 Real estate, property and homes abroad",52362,0.5975,3
5c8a78336d41a10da4f73376,up to 1 million rubles,"17.3 Banking, investments",52366,0.6451,1
5c8a78336d41a10da4f73376,up to 1 million rubles,"16.2 Real estate, property and homes abroad",52362,0.6151,2
5c8a78336d41a10da4f73376,up to 1 million rubles,"16.1 Real estate, property and homes in Russia",52361,0.6103,3
5c8a78336d41a10da4f73378,5 - 10 million rubles,"17.3 Banking, investments",52366,0.6412,1
5c8a78336d41a10da4f73378,5 - 10 million rubles,"16.2 Real estate, property and homes abroad",52362,0.6105,2
5c8a78336d41a10da4f73378,5 - 10 million rubles,"16.1 Real estate, property and homes in Russia",52361,0.6064,3
5c8a78336d41a10da4f73373,1 - 5 million rubles,"17.3 Banking, investments",52366,0.6394,1
5c8a78336d41a10da4f73373,1 - 5 million rubles,"16.2 Real estate, property and homes abroad",52362,0.6039,2
5c8a78336d41a10da4f73373,1 - 5 million rubles,"16.1 Real estate, property and homes in Russia",52361,0.5989,3
5c8a78336d41a10da4f73375,i don't know,2.3 Receptive / ground operator,52282,0.5568,1
5c8a78336d41a10da4f73375,i don't know,9.2 Manufacturer / distributor of consumables,52320,0.5062,2
5c8a78336d41a10da4f73375,i don't know,"17.3 Banking, investments",52366,0.4907,3
5c8a78336d41a10da4f73374,20 - 50 million rubles,"17.3 Banking, investments",52366,0.6335,1
5c8a78336d41a10da4f73374,20 - 50 million rubles,"16.2 Real estate, property and homes abroad",52362,0.612,2
5c8a78336d41a10da4f73374,20 - 50 million rubles,"16.1 Real estate, property and homes in Russia",52361,0.6043,3
